index,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,timestamp,Air temperature [K]_roll_mean,Process temperature [K]_roll_mean,Rotational speed [rpm]_roll_mean,Torque [Nm]_roll_mean,Air temperature [K]_roll_std,Process temperature [K]_roll_std,Rotational speed [rpm]_roll_std,Torque [Nm]_roll_std,Air temperature [K]_roll_var,Process temperature [K]_roll_var,Rotational speed [rpm]_roll_var,Torque [Nm]_roll_var,Air temperature [K]_lag_1,Air temperature [K]_lag_5,Process temperature [K]_lag_1,Process temperature [K]_lag_5,Rotational speed [rpm]_lag_1,Rotational speed [rpm]_lag_5,Torque [Nm]_lag_1,Torque [Nm]_lag_5,Air temperature [K]_change,Process temperature [K]_change,Rotational speed [rpm]_change,Torque [Nm]_change
5,2,298.1,308.6,1425,41.9,11,0,2025-01-01 00:05:00,298.15000000000003,308.6166666666667,1453.8333333333333,43.31666666666666,0.05477225575050381,0.07527726527090181,58.06691542235273,3.8405294773854646,0.002999999999998598,0.005666666666665719,3371.766666666665,14.74966666666667,298.2,298.1,308.7,308.6,1408.0,1551.0,40.0,42.8,-0.0999999999999659,-0.0999999999999659,17.0,1.8999999999999986
6,1,298.1,308.6,1558,42.4,14,0,2025-01-01 00:06:00,298.14285714285717,308.61428571428576,1468.7142857142858,43.18571428571429,0.05345224838246661,0.0690065559342277,66.02957490325653,3.5229857466967665,0.002857142857140904,0.004761904761903697,4359.904761904764,12.411428571428575,298.1,298.2,308.6,308.7,1425.0,1408.0,41.9,46.3,0.0,0.0,133.0,0.5
7,1,298.1,308.6,1527,40.2,16,0,2025-01-01 00:07:00,298.1375,308.6125,1476.0,42.8125,0.05175491695065552,0.06408699444615774,64.51135005341534,3.42821798773482,0.00267857142856925,0.004107142857141854,4161.714285714291,11.752678571428577,298.1,298.1,308.6,308.5,1558.0,1498.0,42.4,49.4,0.0,0.0,-31.0,-2.1999999999999957
8,2,298.3,308.7,1667,28.6,18,0,2025-01-01 00:08:00,298.15555555555557,308.6222222222222,1497.2222222222222,41.233333333333334,0.07264831572566778,0.06666666666665884,87.720832442724,5.720795399243013,0.005277777777776308,0.004444444444443401,7694.94444444446,32.72750000000002,298.1,298.2,308.6,308.6,1527.0,1433.0,40.2,39.5,0.19999999999998863,0.0999999999999659,140.0,-11.600000000000001
9,2,298.5,309.0,1741,28.0,21,0,2025-01-01 00:09:00,298.19,308.65999999999997,1521.6,39.910000000000004,0.1286683937707858,0.1349897115421144,113.06065235576496,6.826655273427996,0.016555555555553988,0.01822222222222325,12782.711111111139,46.60322222222227,298.3,298.2,308.7,308.7,1667.0,1408.0,28.6,40.0,0.19999999999998863,0.30000000000001137,74.0,-0.6000000000000014
10,0,298.4,308.9,1782,23.9,24,0,2025-01-01 00:10:00,298.22,308.69,1544.7,38.019999999999996,0.13984117975601654,0.15238839267550974,140.10000396542162,8.377721779948432,0.01955555555555453,0.023222222222225353,19628.01111111115,70.18622222222233,298.5,298.1,309.0,308.6,1741.0,1425.0,28.0,41.9,-0.10000000000002274,-0.10000000000002274,41.0,-4.100000000000001
11,0,298.6,309.1,1423,44.3,29,0,2025-01-01 00:11:00,298.26,308.72999999999996,1546.2,37.82,0.1837873166945515,0.20027758514402857,138.5454598478221,8.179622376505062,0.033777777777783374,0.040111111111123615,19194.844444444483,66.90622222222233,298.4,298.1,308.9,308.6,1782.0,1558.0,23.9,42.4,0.20000000000004547,0.20000000000004547,-359.0,20.4
12,2,298.6,309.1,1339,51.1,34,0,2025-01-01 00:12:00,298.31,308.79,1530.3,37.989999999999995,0.20248456731320144,0.2131770260709857,153.0555817705161,8.459898869897264,0.04100000000001441,0.045444444444469725,23426.011111111147,71.56988888888901,298.6,298.1,309.1,308.6,1423.0,1527.0,44.3,40.2,0.0,0.0,-84.0,6.800000000000004
13,2,298.6,309.2,1742,30.0,37,0,2025-01-01 00:13:00,298.35,308.85,1561.2,37.04,0.2173067468401398,0.23687784005927653,162.15068437858804,8.798131114680618,0.047222222222244606,0.05611111111114819,26292.84444444448,77.40711111111123,298.6,298.3,309.1,308.7,1339.0,1667.0,51.1,28.6,0.0,0.0999999999999659,403.0,-21.1
15,1,298.6,309.2,1542,48.4,42,0,2025-01-01 00:14:00,298.39,308.9,1574.6,37.88,0.22335820757008182,0.2538591035288872,153.3834700640487,9.48622392970167,0.04988888888891975,0.06444444444449027,23526.488888888925,89.98844444444458,298.6,298.5,309.2,309.0,1742.0,1741.0,30.0,28.0,0.0,0.0,-200.0,18.4
16,2,298.6,309.2,1311,46.6,44,0,2025-01-01 00:15:00,298.44,308.96,1563.2,38.35,0.20655911179782582,0.24585451886126286,169.16251226425905,9.818152123037779,0.04266666666670671,0.06044444444450306,28615.955555555593,96.39611111111125,298.6,298.4,309.2,308.9,1542.0,1782.0,48.4,23.9,0.0,0.0,-231.0,-1.7999999999999972
17,2,298.7,309.2,1410,45.6,47,0,2025-01-01 00:16:00,298.5,309.02,1548.4,38.67,0.18257418583519144,0.22010098692308874,176.00391409789108,10.014994314082822,0.033333333333383015,0.04844444444451768,30977.37777777782,100.30011111111126,298.6,298.6,309.2,309.1,1311.0,1423.0,46.6,44.3,0.0999999999999659,0.0,99.0,-1.0
